0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20.0,15.0,20.0,20.0,22.0,25.0,24.285714285714285,25.0,25.555555555555557,26.0,25.454545454545453,27.5,27.692307692307693,27.142857142857142,27.333333333333332,26.875,26.470588235294116,27.77777777777778,27.36842105263158,28.5
20.0,25.0,26.666666666666668,25.0,22.0,21.666666666666668,22.857142857142858,26.25,27.77777777777778,27.0,29.09090909090909,30.0,30.76923076923077,32.142857142857146,33.333333333333336,34.375,35.294117647058826,36.111111111111114,36.8421052631579,37.5
20.0,25.0,23.333333333333332,22.5,20.0,21.666666666666668,21.428571428571427,23.75,23.333333333333332,24.0,22.727272727272727,23.333333333333332,23.846153846153847,25.0,24.666666666666668,25.0,27.058823529411764,29.444444444444443,28.94736842105263,29.5
10.0,25.0,30.0,30.0,28.0,26.666666666666668,30.0,31.25,30.0,30.0,29.09090909090909,29.166666666666668,29.23076923076923,29.285714285714285,31.333333333333332,31.875,33.529411764705884,34.44444444444444,34.21052631578947,35.0
20.0,15.0,26.666666666666668,22.5,20.0,21.666666666666668,22.857142857142858,21.25,21.11111111111111,19.0,18.181818181818183,19.166666666666668,19.23076923076923,19.285714285714285,20.0,20.625,21.764705882352942,21.11111111111111,21.57894736842105,21.5
20.0,15.0,20.0,27.5,26.0,31.666666666666668,32.857142857142854,32.5,31.11111111111111,32.0,31.818181818181817,31.666666666666668,33.84615384615385,33.57142857142857,33.333333333333336,31.25,31.176470588235293,30.555555555555557,31.57894736842105,31.5
30.0,30.0,33.333333333333336,30.0,32.0,28.333333333333332,31.428571428571427,35.0,34.44444444444444,33.0,33.63636363636363,34.166666666666664,31.53846153846154,32.857142857142854,30.666666666666668,31.875,31.764705882352942,32.22222222222222,32.10526315789474,32.0
50.0,45.0,50.0,55.0,60.0,63.333333333333336,67.14285714285714,66.25,62.22222222222222,63.0,60.90909090909091,60.833333333333336,60.0,59.285714285714285,59.333333333333336,58.75,57.64705882352941,57.22222222222222,55.78947368421053,55.5
30.0,35.0,26.666666666666668,25.0,26.0,28.333333333333332,30.0,31.25,31.11111111111111,30.0,29.09090909090909,29.166666666666668,28.46153846153846,29.285714285714285,28.0,28.75,27.647058823529413,28.333333333333332,29.473684210526315,29.0
30.0,40.0,30.0,27.5,22.0,25.0,27.142857142857142,28.75,30.0,30.0,30.90909090909091,30.833333333333332,30.76923076923077,29.285714285714285,29.333333333333332,28.125,30.0,30.555555555555557,31.57894736842105,32.5
40.0,40.0,33.333333333333336,32.5,34.0,38.333333333333336,41.42857142857143,43.75,45.55555555555556,46.0,41.81818181818182,41.666666666666664,40.76923076923077,40.714285714285715,40.0,40.0,41.1764705882353,40.55555555555556,40.0,39.5
50.0,50.0,43.333333333333336,37.5,36.0,36.666666666666664,37.142857142857146,33.75,31.11111111111111,32.0,32.72727272727273,31.666666666666668,31.53846153846154,32.142857142857146,32.666666666666664,33.125,32.35294117647059,32.22222222222222,32.10526315789474,33.0
30.0,40.0,46.666666666666664,52.5,52.0,46.666666666666664,50.0,48.75,48.888888888888886,49.0,46.36363636363637,48.333333333333336,49.23076923076923,47.857142857142854,47.333333333333336,46.875,46.470588235294116,46.666666666666664,47.89473684210526,47.0
50.0,30.0,33.333333333333336,35.0,32.0,33.333333333333336,37.142857142857146,35.0,34.44444444444444,34.0,35.45454545454545,34.166666666666664,33.84615384615385,35.0,33.333333333333336,34.375,34.705882352941174,35.55555555555556,35.26315789473684,34.0
40.0,30.0,33.333333333333336,35.0,40.0,48.333333333333336,48.57142857142857,48.75,47.77777777777778,47.0,47.27272727272727,46.666666666666664,46.92307692307692,47.142857142857146,46.0,46.25,46.470588235294116,47.77777777777778,47.36842105263158,48.5
20.0,20.0,13.333333333333334,20.0,24.0,26.666666666666668,30.0,27.5,25.555555555555557,26.0,27.272727272727273,30.0,28.46153846153846,27.857142857142858,28.0,26.875,25.88235294117647,26.11111111111111,25.263157894736842,24.5
60.0,45.0,50.0,55.0,60.0,63.333333333333336,64.28571428571429,62.5,60.0,59.0,55.45454545454545,54.166666666666664,51.53846153846154,50.0,49.333333333333336,48.125,47.05882352941177,47.77777777777778,47.36842105263158,48.0
